,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02
Goodwill,514062000.000,524153000.000,543286000.000,491079000.000,781917000.000,814464000.000,815803000.000,790236000.000,790236000.000,790236000.000,790236000.000,790236000.000,848398000.000,850887000.000,852633000.000,885610000.000,885606000.000,886865000.000,1144353000.000,1139300000.000,1139300000.000,2464600000.000,2447700000.000,2479400000.000,2484100000.000,2483600000.000,2500400000.000
IntangibleAssetsNetExcludingGoodwill,314673000.000,296926000.000,290160000.000,281689000.000,466926000.000,453413000.000,427366000.000,399991000.000,378283000.000,357173000.000,336130000.000,315175000.000,404012000.000,377703000.000,354281000.000,351893000.000,328333000.000,305619000.000,383178000.000,357800000.000,332400000.000,1022700000.000,974200000.000,934600000.000,889000000.000,842500000.000,800000000.000
InterestPayableCurrent,,,,4037000.000,6914000.000,1965000.000,1871000.000,1720000.000,1741000.000,1594000.000,1485000.000,1276000.000,604000.000,948000.000,0.000,67000.000,,,,,,,,31200000.000,,,
InventoryFinishedGoods,,,36462000.000,35183000.000,40777000.000,37980000.000,,29041000.000,30570000.000,32322000.000,38614000.000,38788000.000,,,,55681000.000,,,,59000000.000,,,,67500000.000,,,
InventoryFinishedGoodsNetOfReserves,,,,,,,38997000.000,,,,,,53144000.000,47575000.000,48335000.000,,54384000.000,52064000.000,63453000.000,,64500000.000,83100000.000,76900000.000,,71800000.000,67200000.000,74900000.000
InventoryNet,160394000.000,140170000.000,145352000.000,140827000.000,164786000.000,156330000.000,155548000.000,159055000.000,158888000.000,162727000.000,166564000.000,161986000.000,216259000.000,201573000.000,196692000.000,205005000.000,202775000.000,204435000.000,234994000.000,227200000.000,231400000.000,235100000.000,231200000.000,213100000.000,210400000.000,213600000.000,231900000.000
InventoryRawMaterials,,,41171000.000,40454000.000,44868000.000,40034000.000,,39094000.000,36591000.000,37998000.000,37077000.000,36436000.000,,,,55280000.000,,,,56500000.000,,,,32800000.000,,,
InventoryRawMaterialsNetOfReserves,,,,,,,40639000.000,,,,,,67977000.000,58589000.000,54159000.000,,52176000.000,49785000.000,56245000.000,,52600000.000,16700000.000,41900000.000,,31700000.000,31900000.000,45500000.000
InventoryWorkInProcess,,,67719000.000,65190000.000,79141000.000,78316000.000,,90920000.000,91727000.000,92407000.000,90873000.000,86762000.000,,,,94044000.000,,,,111700000.000,,,,112800000.000,,,
InventoryWorkInProcessNetOfReserves,,,,,,,75912000.000,,,,,,95138000.000,95409000.000,94198000.000,,96215000.000,102586000.000,115296000.000,,114300000.000,135300000.000,112400000.000,,106900000.000,114500000.000,111500000.000
Land,,,,1725000.000,,,,1725000.000,,,,1725000.000,,,,2084000.000,,,,1900000.000,,,,1500000.000,,,
LeaseholdImprovementsGross,,,,21221000.000,,,,,,,,,,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,1478540000.000,1442362000.000,1485021000.000,1470473000.000,1891812000.000,1911930000.000,1938692000.000,1934630000.000,1917961000.000,1903548000.000,1894777000.000,1912655000.000,2137102000.000,2107368000.000,2041375000.000,2061096000.000,2053098000.000,2079444000.000,2437783000.000,2450100000.000,2449200000.000,4608800000.000,4364500000.000,4423000000.000,4350000000.000,4360200000.000,4322800000.000
LiabilitiesCurrent,137527000.000,114039000.000,125673000.000,153689000.000,168511000.000,166319000.000,180128000.000,156478000.000,140383000.000,136901000.000,128969000.000,133232000.000,179241000.000,170013000.000,163171000.000,161223000.000,157498000.000,152655000.000,201590000.000,201600000.000,203400000.000,297200000.000,316100000.000,319600000.000,274200000.000,302000000.000,319500000.000
LiabilitiesNoncurrent,,,,425960000.000,,,,,,,,,,,,,,,,,,,,,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,,,,,,,,,,9000000.000,,,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,,,9000000.000,,,,,
LineOfCreditFacilityAmountOutstanding,,,373100000.000,,,,,,,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityFairValueOfAmountOutstanding,,,372200000.000,,,,,,,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,100000000.000,100000000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebt,,,,361022000.000,,,,,,,,,,,,,,,,,,2200000000.000,1800000000.000,,1700000000.000,1629000000.000,1710000000.000
LongTermDebtCurrent,4230000.000,4183000.000,4220000.000,4050000.000,8500000.000,9115000.000,9035000.000,903000.000,849000.000,1070000.000,820000.000,607000.000,1854000.000,2056000.000,192000.000,,,,24375000.000,32500000.000,32500000.000,16900000.000,40700000.000,40700000.000,40700000.000,40700000.000,50900000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,358704000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,4101000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,4043000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,4043000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,4043000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,4189000.000,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtNoncurrent,374926000.000,374025000.000,368452000.000,357384000.000,790000000.000,799900000.000,797875000.000,775975000.000,750975000.000,725975000.000,699000000.000,676000000.000,824500000.000,794500000.000,726026000.000,698026000.000,698026000.000,698026000.000,961274000.000,953900000.000,938300000.000,2581900000.000,2186700000.000,2138500000.000,2065500000.000,1991100000.000,1909000000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,64538000.000,,,,,,,,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,11340000.000,,,,18596000.000,,,,19884000.000,,,,21639000.000,,,,19800000.000,,,,26400000.000,,,
