,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
PensionExpense,24000000.000,,,,24000000.000,,,,19000000.000,,,,16000000.000,,,,11000000.000,,,,7000000.000,,,,5000000.000,
ProceedsFromContributionsFromAffiliates,,,,,,,,,0.000,,,,0.000,,,,,,,,,,,,,
ProceedsFromDivestitureOfBusinesses,,,,,,,,,,,,,,,,,21000000.000,,,,0.000,,,,,
ProceedsFromInsuranceSettlementInvestingActivities,,,,,23000000.000,,,,8000000.000,,,,0.000,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,8000000.000,,,,4000000.000,,,,3000000.000,,,,1000000.000,,,,7000000.000,
ProceedsFromIssuanceOfLongTermDebt,754000000.000,,,,21000000.000,,,,1007000000.000,,,,70000000.000,,,,750000000.000,,,,303000000.000,,,,4000000.000,
ProceedsFromPaymentsForOtherFinancingActivities,5000000.000,,,,8000000.000,,,,10000000.000,,,,2000000.000,,,,-47000000.000,,,,32000000.000,,,,-5000000.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,0.000,,,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfShortTermDebt,218000000.000,,,,338000000.000,,,,364000000.000,,,,218000000.000,,,,234000000.000,,,,383000000.000,,,,351000000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,3000000.000,,,,,,,,,,,,3000000.000,
ProfitLoss,42000000.000,156000000.000,159000000.000,39000000.000,90000000.000,157000000.000,344000000.000,67000000.000,67000000.000,155000000.000,127000000.000,79000000.000,46000000.000,127000000.000,266000000.000,36000000.000,62000000.000,153000000.000,160000000.000,86000000.000,99000000.000,185000000.000,206000000.000,93000000.000,133000000.000,148000000.000
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,,,,,,,,30000000.000,,,,-11000000.000,,,,-16000000.000,,,,-8000000.000,
RepaymentsOfLongTermDebt,605000000.000,,,,8000000.000,,,,911000000.000,,,,29000000.000,,,,41000000.000,,,,709000000.000,,,,12000000.000,
RestructuringCharges,25000000.000,0.000,2000000.000,50000000.000,0.000,3000000.000,7000000.000,38000000.000,4000000.000,4000000.000,33000000.000,5000000.000,52000000.000,31000000.000,6000000.000,-68000000.000,0.000,1000000.000,20000000.000,2000000.000,,2000000.000,7000000.000,,2000000.000,2000000.000
Revenues,1882000000.000,2281000000.000,2423000000.000,2058000000.000,1947000000.000,2184000000.000,2302000000.000,2037000000.000,1973000000.000,2223000000.000,2420000000.000,2071000000.000,2017000000.000,2383000000.000,2594000000.000,2127000000.000,1997000000.000,2278000000.000,2460000000.000,2027000000.000,1893000000.000,2142000000.000,2326000000.000,1923000000.000,1901000000.000,2161000000.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,82000000.000,68000000.000,,83000000.000,85000000.000,62000000.000,84000000.000,71000000.000,72000000.000,,,,,,,,,,,,,,,,
RoyaltyExpense,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
SalesRevenueNet,1882000000.000,2281000000.000,2423000000.000,2058000000.000,1947000000.000,2184000000.000,2302000000.000,2037000000.000,1973000000.000,2223000000.000,2389000000.000,2071000000.000,1993000000.000,2383000000.000,2594000000.000,2127000000.000,1997000000.000,2278000000.000,2460000000.000,2027000000.000,1893000000.000,2142000000.000,2326000000.000,1923000000.000,1901000000.000,2161000000.000
SegmentReportingInformationRevenue,,1936000000.000,2061000000.000,,,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,102000000.000,100000000.000,96000000.000,97000000.000,106000000.000,90000000.000,92000000.000,94000000.000,104000000.000,102000000.000,113000000.000,106000000.000,104000000.000,103000000.000,95000000.000,96000000.000,98000000.000,99000000.000,94000000.000,99000000.000,91000000.000,94000000.000,90000000.000,93000000.000,90000000.000,92000000.000
ShareBasedCompensation,10000000.000,,,,10000000.000,,,,10000000.000,,,,9000000.000,,,,11000000.000,,,,6000000.000,,,,4000000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,,,,,,,,,,1200000.000,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,,,,,,,,,,,,,,,,,,,,,,,,,0.000,
StockIssuedDuringPeriodValueShareBasedCompensation,-4000000.000,,,,-2000000.000,,,,8000000.000,,,,4000000.000,,,,3000000.000,,,,1000000.000,,,,7000000.000,
StockRepurchasedDuringPeriodValue,,,,,,,,,6000000.000,,,,2000000.000,,,,4000000.000,,,,4000000.000,,,,140000000.000,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,3200000.000,2600000.000,,2200000.000,2500000.000,2300000.000,-4700000.000,1500000.000,1300000.000,1400000.000,-3000000.000,1100000.000,1400000.000,1300000.000,-2500000.000,1300000.000,1400000.000,1000000.000,-2500000.000,900000.000,800000.000,800000.000,-1720000.000,500000.000,400000.000
WeightedAverageNumberOfDilutedSharesOutstanding,157928690.000,155486354.000,152680719.000,-311795763.000,150000000.000,150500000.000,147800000.000,-299900000.000,144000000.000,142500000.000,139200000.000,-285000000.000,137900000.000,138600000.000,138700000.000,-276700000.000,139000000.000,139300000.000,139100000.000,-278260000.000,139000000.000,139300000.000,139500000.000,-278490000.000,139000000.000,135700000.000
WeightedAverageNumberOfSharesOutstandingBasic,154610056.000,152344400.000,150138644.000,-305393100.000,147800000.000,148000000.000,145500000.000,-295200000.000,142500000.000,141200000.000,137800000.000,-282000000.000,136800000.000,137200000.000,137400000.000,-274200000.000,137700000.000,137900000.000,138100000.000,-275760000.000,138100000.000,138500000.000,138700000.000,-276770000.000,138500000.000,135300000.000
WriteOffOfDeferredDebtIssuanceCost,,,,,,,,,9000000.000,,,,,,6000000.000,,,,,,,,,,,
