,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
FiniteLivedIntangibleAssetsAccumulatedAmortization,46000000.000,49000000.000,51000000.000,54000000.000,57000000.000,59000000.000,62000000.000,65000000.000,68000000.000,70000000.000,73000000.000,75000000.000,77000000.000,80000000.000,58000000.000,59000000.000,61000000.000,63000000.000,59000000.000,60000000.000,62000000.000,64000000.000,66000000.000,68000000.000,71000000.000,72000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,,,,7000000.000,,,,7000000.000,,,,9000000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,6000000.000,3000000.000,,8000000.000,6000000.000,3000000.000,,8000000.000,5000000.000,2000000.000,,5000000.000,3000000.000,2000000.000,,5000000.000,3000000.000,2000000.000,,6000000.000,4000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFive,,,,,,11000000.000,11000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,,,,,,11000000.000,11000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,,,,,,11000000.000,11000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,,,,,,11000000.000,11000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,11000000.000,,,,10000000.000,10000000.000,10000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,9000000.000,9000000.000,9000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,9000000.000,9000000.000,9000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,9000000.000,9000000.000,9000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,7000000.000,9000000.000,9000000.000,9000000.000
FiniteLivedIntangibleAssetsGross,245000000.000,246000000.000,240000000.000,241000000.000,243000000.000,241000000.000,244000000.000,243000000.000,242000000.000,239000000.000,241000000.000,238000000.000,235000000.000,238000000.000,155000000.000,155000000.000,155000000.000,155000000.000,149000000.000,149000000.000,149000000.000,149000000.000,149000000.000,168000000.000,169000000.000,168000000.000
FiniteLivedIntangibleAssetsNet,199000000.000,197000000.000,189000000.000,187000000.000,186000000.000,182000000.000,182000000.000,178000000.000,174000000.000,169000000.000,168000000.000,163000000.000,158000000.000,158000000.000,97000000.000,96000000.000,94000000.000,92000000.000,90000000.000,89000000.000,87000000.000,85000000.000,83000000.000,100000000.000,98000000.000,96000000.000
Goodwill,1787000000.000,1794000000.000,1749000000.000,1783000000.000,1799000000.000,1781000000.000,1814000000.000,1822000000.000,1808000000.000,1790000000.000,4000000.000,4000000.000,,,,,,,,7000000.000,,,,,,
GuaranteeObligationsCurrentCarryingValue,,,,,,,,,,,22000000.000,22000000.000,23000000.000,23000000.000,24000000.000,,,,,,,,,,,
GuaranteeObligationsMaximumExposure,31000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000,37000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000,4000000.000
IncomeTaxesReceivable,66000000.000,13000000.000,11000000.000,7000000.000,,,,,,,,185000000.000,184000000.000,15000000.000,14000000.000,15000000.000,,,,,,,,,,
IndefiniteLivedIntangibleAssetsExcludingGoodwill,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,,,,,,,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,274000000.000,272000000.000,264000000.000,262000000.000,261000000.000,257000000.000,257000000.000,253000000.000,249000000.000,277000000.000,276000000.000,271000000.000,266000000.000,266000000.000,205000000.000,204000000.000,202000000.000,200000000.000,198000000.000,196000000.000,195000000.000,193000000.000,177000000.000,175000000.000,173000000.000,171000000.000
InterestPayableCurrent,75000000.000,43000000.000,75000000.000,41000000.000,78000000.000,48000000.000,72000000.000,50000000.000,64000000.000,55000000.000,80000000.000,54000000.000,78000000.000,52000000.000,73000000.000,52000000.000,73000000.000,52000000.000,73000000.000,49000000.000,67000000.000,46000000.000,78000000.000,85000000.000,66000000.000,73000000.000
InventoryFinishedGoods,492000000.000,571000000.000,608000000.000,548000000.000,517000000.000,534000000.000,,,,,,,,,,,,,,,,,,,,
InventoryFinishedGoodsNetOfReserves,,,,,,,585000000.000,573000000.000,585000000.000,494000000.000,535000000.000,558000000.000,604000000.000,542000000.000,518000000.000,563000000.000,502000000.000,494000000.000,466000000.000,392000000.000,406000000.000,407000000.000,415000000.000,375000000.000,394000000.000,388000000.000
InventoryLandHeldForDevelopmentAndSale,92000000.000,94000000.000,89000000.000,87000000.000,87000000.000,87000000.000,88000000.000,86000000.000,97000000.000,86000000.000,84000000.000,81000000.000,80000000.000,80000000.000,69000000.000,69000000.000,66000000.000,67000000.000,64000000.000,64000000.000,53000000.000,56000000.000,54000000.000,54000000.000,51000000.000,45000000.000
InventoryNet,2255000000.000,2698000000.000,2843000000.000,2775000000.000,2437000000.000,2412000000.000,2525000000.000,2503000000.000,2316000000.000,2269000000.000,2480000000.000,2688000000.000,2411000000.000,2337000000.000,2199000000.000,2496000000.000,2418000000.000,2330000000.000,2435000000.000,2074000000.000,1801000000.000,1675000000.000,1742000000.000,1573000000.000,1718000000.000,1727000000.000
InventoryRawMaterials,792000000.000,969000000.000,1161000000.000,1178000000.000,812000000.000,821000000.000,917000000.000,945000000.000,691000000.000,860000000.000,968000000.000,1011000000.000,691000000.000,720000000.000,608000000.000,801000000.000,864000000.000,832000000.000,788000000.000,766000000.000,518000000.000,440000000.000,450000000.000,449000000.000,494000000.000,499000000.000
InventoryWorkInProcess,872000000.000,1056000000.000,972000000.000,953000000.000,1015000000.000,963000000.000,925000000.000,883000000.000,932000000.000,820000000.000,877000000.000,1023000000.000,1027000000.000,987000000.000,994000000.000,1053000000.000,982000000.000,935000000.000,1110000000.000,841000000.000,819000000.000,767000000.000,813000000.000,686000000.000,773000000.000,789000000.000
Land,,,,268000000.000,,,,264000000.000,,,,251000000.000,,,,196000000.000,,,,198000000.000,,,,204000000.000,,
LeveragedLeasesNetInvestmentInLeveragedLeasesDisclosureResidualValueOfLeasedAssets,8000000.000,8000000.000,9000000.000,10000000000.000,11000000.000,11000000.000,11000000.000,11000000.000,12000000.000,16000000.000,16000000.000,15000000.000,15000000.000,14000000.000,13000000.000,12000000.000,12000000.000,12000000.000,12000000.000,11000000.000,10000000.000,9000000.000,8000000.000,7000000.000,8000000.000,8000000.000
Liabilities,11859000000.000,12029000000.000,11761000000.000,12572000000.000,12343000000.000,11871000000.000,11633000000.000,11739000000.000,11680000000.000,11390000000.000,11231000000.000,9794000000.000,9943000000.000,9892000000.000,8065000000.000,8514000000.000,7876000000.000,7732000000.000,8019000000.000,6753000000.000,6993000000.000,7027000000.000,6865000000.000,6885000000.000,7012000000.000,7025000000.000
LiabilitiesAndStockholdersEquity,15768000000.000,16245000000.000,15931000000.000,16073000000.000,15804000000.000,15404000000.000,15496000000.000,15217000000.000,15151000000.000,14864000000.000,13006000000.000,13143000000.000,13394000000.000,13406000000.000,12008000000.000,12314000000.000,11544000000.000,11213000000.000,11191000000.000,9190000000.000,8936000000.000,8941000000.000,9467000000.000,9160000000.000,9186000000.000,9580000000.000
LiabilitiesCurrent,3523000000.000,3599000000.000,3713000000.000,3649000000.000,3652000000.000,3310000000.000,3267000000.000,2990000000.000,3087000000.000,3268000000.000,3286000000.000,3245000000.000,3539000000.000,3521000000.000,3550000000.000,3569000000.000,3309000000.000,3242000000.000,3333000000.000,2148000000.000,2193000000.000,2323000000.000,2397000000.000,2331000000.000,2718000000.000,2751000000.000
LongTermDebt,,,,3857000000.000,,,,3946000000.000,,,,3993000000.000,,,,3543000000.000,,,,3166000000.000,,,,3069000000.000,,
