,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
Revenues,2363000000.000,2667000000.000,2644000000.000,2828000000.000,2599000000.000,2922000000.000,2895000000.000,2856000000.000,2750000000.000,3051000000.000,2942000000.000,2920000000.000,2161000000.000,2346000000.000
SalesRevenueNet,2363000000.000,2667000000.000,2644000000.000,2828000000.000,2599000000.000,2922000000.000,2895000000.000,2856000000.000,2750000000.000,3051000000.000,2942000000.000,2920000000.000,2161000000.000,2346000000.000
ShareBasedCompensation,19000000.000,,,,19000000.000,,,,11000000.000,,,,15000000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardPlanModificationIncrementalCompensationCost,,,,,,,,,,,,,0.000,
StockGrantedDuringPeriodValueSharebasedCompensation,22000000.000,,,,,,,,2000000.000,,,,,
StockholdersEquityNoteSpinoffTransaction,,,,,,,,,,,,,-4219000000.000,
TimeShareCosts,177000000.000,188000000.000,199000000.000,203000000.000,234000000.000,220000000.000,219000000.000,224000000.000,217000000.000,223000000.000,257000000.000,251000000.000,,
TimeShareRevenue,279000000.000,276000000.000,295000000.000,321000000.000,321000000.000,319000000.000,334000000.000,334000000.000,326000000.000,336000000.000,358000000.000,370000000.000,,
TimeSharingTransactionsDirectWriteOffsChargedAgainstAllowance,8000000.000,,,,-6000000.000,,,,9000000.000,,,,,
TreasuryStockAcquiredAverageCostPerShare,,,,,,,,,,,,,57.670,
TreasuryStockValueAcquiredCostMethod,,,,,,,,,,,,,70000000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,985000000.000,985000000.000,987000000.000,-1971000000.000,988000000.000,989000000.000,989000000.000,-1977000000.000,989000000.000,991000000.000,992000000.000,-2642000000.000,331000000.000,329000000.000
WeightedAverageNumberOfSharesOutstandingBasic,985000000.000,985000000.000,985000000.000,-1970000000.000,986000000.000,987000000.000,987000000.000,-1974000000.000,987000000.000,988000000.000,988000000.000,-2634000000.000,330000000.000,327000000.000
