,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
Revenues,78443000.000,88974000.000,105042000.000,109584000.000,229693000.000,243504000.000,251449000.000,263439000.000,264345000.000,273599000.000,278038000.000,290928000.000,320600000.000,323900000.000,340700000.000,361900000.000,366800000.000,369600000.000,478000000.000,507300000.000,504900000.000,506700000.000,550200000.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,,,,-3543000.000,-2035000.000,6969000.000,,,,,,,,,,,,,,,,
SalesRevenueNet,78443000.000,88974000.000,105042000.000,109584000.000,229693000.000,243504000.000,251449000.000,263439000.000,264345000.000,273599000.000,278038000.000,290928000.000,320600000.000,323900000.000,340700000.000,361900000.000,366800000.000,369600000.000,478000000.000,507300000.000,504900000.000,506700000.000,550200000.000
SellingGeneralAndAdministrativeExpense,22596000.000,26059000.000,30420000.000,32620000.000,85793000.000,73048000.000,70419000.000,188770000.000,117416000.000,134224000.000,142698000.000,176888000.000,156600000.000,32100000.000,83000000.000,86400000.000,84600000.000,85000000.000,112500000.000,104300000.000,105600000.000,104700000.000,108800000.000
ShareBasedCompensation,3704000.000,,,,10481000.000,,,,42684000.000,,64964000.000,,123100000.000,,,,46100000.000,42900000.000,33500000.000,33400000.000,32000000.000,34500000.000,26500000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,,,,,,,,,,,,,,,,,200425.000,191015.000,171316.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,,,,,,,,,,,,,,,,47.000,75.560,27.390
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,24300000.000,,
StockRepurchasedDuringPeriodShares,,,,,,,,,,,,,,,,,,726327.000,3474120.000,,,,
StockRepurchasedDuringPeriodValue,,,,,,,,,,,,,,,,,,17500000.000,81100000.000,,,,
StockholdersEquityOther,,,,,,,,,-27000.000,,,,,,,,,,,,,,
StockholdersEquityPeriodIncreaseDecrease,,,,,26569000.000,,,,,,,,,,,,,,,,,,
SubsidiaryOrEquityMethodInvesteeCumulativePercentageOwnershipAfterAllTransactions,,,,,,,,,1.000,,,,,,,,,,,,,,
