,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
SalesRevenueNet,1283000000.000,1366300000.000,1410800000.000,1431300000.000,1393400000.000,1425100000.000,1421600000.000,1424700000.000,1325400000.000,1385900000.000,1408800000.000,1421900000.000,1350800000.000,1405600000.000,1440900000.000,1409900000.000,1320900000.000,1383600000.000,1399200000.000,1380000000.000,1297700000.000,1375700000.000,1377800000.000,1371700000.000,1302400000.000
SegmentReportingInformationProfitLoss,336900000.000,,,,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,224700000.000,251400000.000,247800000.000,280500000.000,277900000.000,281700000.000,259700000.000,321300000.000,269100000.000,297400000.000,295300000.000,337800000.000,281600000.000,299500000.000,286300000.000,301900000.000,276800000.000,333400000.000,277500000.000,287200000.000,259700000.000,293500000.000,276600000.000,839400000.000,262400000.000
ShareBasedCompensation,7500000.000,7800000.000,7100000.000,8800000.000,10500000.000,9200000.000,7000000.000,7300000.000,10400000.000,9800000.000,8900000.000,5400000.000,11300000.000,9500000.000,8900000.000,10000000.000,11700000.000,10200000.000,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,,,,,,,,,,,,,,,,,3000000.000,,,,2900000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,,,,,,,,,,,,,,,,16.660,,,,17.630
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.014,,,,0.017,,,,0.037,,,,0.031,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,5.800,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.026,,,,0.012,,,,0.012,,,,0.019,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,0.309,,,,0.333,,,,0.353,,,,0.338,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,1300000.000,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,1600000.000,,,,2500000.000,,,,3900000.000,,,,900000.000,,,,1000000.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,,,,,,,,,,,,,,600000.000,,,,400000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,6.070,,,,4.940,,,,3.200,,,,3.950,,,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,,,14.000,,,,16.000,,,,19.290,,,,18.190,,,,19.990
