,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
ProceedsFromSaleOfPropertyPlantAndEquipment,15000000.000,,,,,,,,25000000.000,,,,0.000,,,,,,,,,,,0.000
ProfitLoss,,,,,,,,,,,,,,,,,,,,,,92000000.000,,74000000.000
ProvisionForDoubtfulAccounts,,,,,,,,,,,43000000.000,,,,0.000,,,,13000000.000,,,1000000.000,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,,,,,,,,,,,,,,,,,,,,,,,,1000000.000
RepaymentsOfLongTermDebtAndCapitalSecurities,1000000.000,,,,1000000.000,,,,,,,,,,,,29000000.000,,,1000000.000,,,,22000000.000
RestructuringCharges,,,,,,,11000000.000,,33000000.000,35000000.000,,,1000000.000,,,,,,,,,5000000.000,,13000000.000
RestructuringCosts,,,,,,,,,,,,,-1000000.000,,,,,,,,,,,
Revenues,2688000000.000,2596000000.000,2811000000.000,2492000000.000,2782000000.000,2848000000.000,2870000000.000,2673000000.000,2707000000.000,2474000000.000,1420000000.000,-829000000.000,1320000000.000,1306000000.000,1276000000.000,1161000000.000,1246000000.000,1257000000.000,1302000000.000,1312000000.000,1288000000.000,1868000000.000,2575000000.000,2580000000.000
SalesRevenueNet,2688000000.000,2596000000.000,2811000000.000,2492000000.000,2782000000.000,2848000000.000,2870000000.000,2673000000.000,2707000000.000,2474000000.000,1420000000.000,-829000000.000,1320000000.000,1306000000.000,1276000000.000,1161000000.000,1246000000.000,1257000000.000,1302000000.000,1312000000.000,1288000000.000,1868000000.000,2575000000.000,2580000000.000
SellingGeneralAndAdministrativeExpense,,,,,,,,,,117000000.000,116000000.000,,83000000.000,87000000.000,72000000.000,68000000.000,75000000.000,51000000.000,53000000.000,60000000.000,57000000.000,87000000.000,130000000.000,144000000.000
SeveranceCosts,,,,,,,,,5000000.000,6000000.000,2000000.000,,,,,,,,,,,,,
SeveranceCosts1,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
ShareBasedCompensation,24000000.000,19000000.000,21000000.000,20000000.000,24000000.000,22000000.000,21000000.000,17000000.000,24000000.000,21000000.000,,,11000000.000,,,,6000000.000,,,8000000.000,,,,10000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,60000000.000,,,,60000000.000,,,,50000000.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,,,,0.037,,,,0.039,,,,0.028,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,4.900,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.234,,,,0.244,,,,0.250,,,,0.251,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.022,,,,0.010,,,,0.008,,,,0.016,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,1.800,,,,,,,,,,,,,,,,,,,,,,,
