,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
InventoriesPropertyHeldForSaleCurrent,,,,,,,,,,,,,9000000.000,,,,,,,,,,
InventoryFinishedGoods,,514000000.000,581000000.000,379000000.000,,,,,,,,,,,,,,,,,,,
InventoryFinishedGoodsNetOfReserves,,,,,,,306000000.000,314000000.000,231000000.000,,,205000000.000,224000000.000,226000000.000,,,,,157000000.000,157000000.000,160000000.000,124000000.000,176000000.000
InventoryNet,815000000.000,837000000.000,892000000.000,607000000.000,,,543000000.000,567000000.000,427000000.000,,,399000000.000,416000000.000,402000000.000,349000000.000,373000000.000,381000000.000,375000000.000,286000000.000,286000000.000,280000000.000,236000000.000,308000000.000
InventoryRawMaterials,,137000000.000,132000000.000,105000000.000,,,,,,,,,,,,,,,,,,,
InventoryRawMaterialsNetOfReserves,,,,,,,118000000.000,124000000.000,87000000.000,,,94000000.000,98000000.000,91000000.000,,,,,63000000.000,65000000.000,58000000.000,57000000.000,69000000.000
InventoryWorkInProcess,,186000000.000,179000000.000,123000000.000,,,,,,,,,,,,,,,,,,,
InventoryWorkInProcessNetOfReserves,,,,,,,119000000.000,129000000.000,109000000.000,,,100000000.000,94000000.000,85000000.000,,,,,66000000.000,64000000.000,62000000.000,55000000.000,63000000.000
InvestmentsAndCash,,,,,,,33000000.000,,,,,,,,,,,,,,,,
Land,,,,,,,41000000.000,,,,,,,,100000000.000,,,,,,,84000000.000,
LettersOfCreditOutstandingAmount,,,,,,,12000000.000,,,,,,,,,,,,,,,,
Liabilities,7156000000.000,6753000000.000,6751000000.000,7028000000.000,,,7963000000.000,7417000000.000,6968000000.000,,,2466000000.000,2305000000.000,2152000000.000,2257000000.000,2106000000.000,2095000000.000,2018000000.000,2114000000.000,2081000000.000,2004000000.000,1693000000.000,1617000000.000
LiabilitiesAndStockholdersEquity,5882000000.000,5334000000.000,5102000000.000,4678000000.000,,,4286000000.000,4096000000.000,3815000000.000,,,3082000000.000,2853000000.000,2679000000.000,2556000000.000,2353000000.000,2322000000.000,2200000000.000,2066000000.000,2042000000.000,1981000000.000,1776000000.000,1717000000.000
LiabilitiesCurrent,2441000000.000,2210000000.000,2317000000.000,2150000000.000,,,2104000000.000,2025000000.000,3387000000.000,,,839000000.000,745000000.000,623000000.000,599000000.000,515000000.000,527000000.000,502000000.000,443000000.000,444000000.000,423000000.000,425000000.000,393000000.000
LiabilitiesFairValueDisclosure,,,,,,,,86000000.000,80000000.000,,,,,,,,,,,,,,
