,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
DeferredRevenueCurrent,,,,,,,,,,,,,,,14000.000,41000.000,57000.000,59000.000,346000.000,336000.000,336000.000,336000.000,316000.000,232000.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,,,58000.000,54000.000,51000.000,46000.000,310000.000,228000.000,146000.000,63000.000,0.000,
DeferredTaxAssetsGross,,,,,,,3830000.000,,,,2879000.000,,,,9017000.000,,,,13172000.000,,,,6507000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,3761000.000,,,,1579000.000,,,,8001000.000,,,,11429000.000,,,,9648000.000,
DeferredTaxAssetsOther,,,,,,,,,,,,,,,107000.000,,,,-52000.000,,,,-40000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,17000.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,0.000,,,,1300000.000,,,,909000.000,,,,1795000.000,,,,2532000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,52000.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,3830000.000,,,,2879000.000,,,,9017000.000,,,,13172000.000,,,,6507000.000,
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,,,,,,,0.000,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,,,,720000.000,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherLiabilities,,,,,598000.000,791000.000,798000.000,280000.000,13000.000,,,,,,,,,,,,,,,
