,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax,,,,,,,,,,,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,,,,,0.000,,0.000,0.000,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,,,1000000.000,-2000000.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,,,0.000,0.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostNetOfTax,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,,0.000,0.000,0.000,0.000,,-2000000.000,1000000.000,,-6000000.000,-3000000.000,-2000000.000,0.000,-1000000.000,-1000000.000,-1000000.000,-2000000.000,1000000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,,,,,-1000000.000,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,27000000.000,-4000000.000,11000000.000,-13000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OtherNoncashIncomeExpense,,-10000000.000,,,,0.000,,,,-4000000.000,,,,,,-10000000.000,,,,7000000.000,,
OtherNonoperatingIncomeExpense,,-16000000.000,9000000.000,6000000.000,8000000.000,29000000.000,-3000000.000,16000000.000,-96000000.000,1000000.000,46000000.000,-3000000.000,-77000000.000,122000000.000,8000000.000,-9000000.000,-2000000.000,28000000.000,2000000.000,1000000.000,-11000000.000,1000000.000
OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,,,,,,,,,,,,,,,,,,,,0.000,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,19000000.000,,,,,,0.000,,,,,,
PaymentsForRepurchaseOfCommonStock,,128000000.000,,,,639000000.000,,,,182000000.000,,,,,,983000000.000,,,,101000000.000,,
PaymentsOfDividendsCommonStock,,78000000.000,,,,127000000.000,,,,135000000.000,,,,,,163000000.000,,,,0.000,,
